Consumer query:

Ranked results from semantic matching: 
1. Supplier Name: Grant-Becker, Similarity Score: 0.86
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
487. Supplier Name: Effertz, Haley and Langworth, Similarity Score: 0.45
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel_316, Offered Machine: LaserCuttingMachine, Offered Capacity: 75, Certification: QS9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: HorizontalMilling, Offered Material: HighAlloySteel, Offered Machine: HorizontalMillingMachine, Offered Capacity: 50, Certification: QS9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WaterJetCutting, Offered Material: GrayIron, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 125, Certification: QS9000, Available from-to: 2019-02-15 - 2019-05-01
488. Supplier Name: Kunze Inc, Similarity Score: 0.45
Offered Process: SinkerEDM, Offered Material: MalleableIron, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: LEED, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: ManualMilling, Offered Material: WhiteIron, Offered Machine: ManualMachineTool, Offered Capacity: 75, Certification: LEED, Available from-to: 2019-01-01 - 2019-03-15
489. Supplier Name: Huels Group, Similarity Score: 0.45
Offered Process: ElectricalDischargeMachining, Offered Material: WhiteIron, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: LEED, Available from-to: 2019-01-15 - 2019-04-01
490. Supplier Name: Jenkins-Littel, Similarity Score: 0.45
Offered Process: SinkerEDM, Offered Material: WhiteIron, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: LEED, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: WaterJetCutting, Offered Material: AlloySteel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: LEED, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: Shaping, Offered Material: StainlessSteel, Offered Machine: ShaperMachine, Offered Capacity: 100, Certification: LEED, Available from-to: 2019-01-01 - 2019-03-15
491. Supplier Name: Roob LLC, Similarity Score: 0.45
Offered Process: Shaping, Offered Material: LowCarbonSteel, Offered Machine: ShaperMachine, Offered Capacity: 50, Certification: LEED, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: LaserBeamCutting, Offered Material: GrayIron, Offered Machine: LaserCuttingMachine, Offered Capacity: 75, Certification: LEED, Available from-to: 2019-01-01 - 2019-03-15
492. Supplier Name: Gerlach-Walter, Similarity Score: 0.45
Offered Process: Shaping, Offered Material: GrayIron, Offered Machine: ShaperMachine, Offered Capacity: 150, Certification: LEED, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: LaserBeamCutting, Offered Material: CastIron, Offered Machine: LaserCuttingMachine, Offered Capacity: 75, Certification: LEED, Available from-to: 2019-03-01 - 2019-05-15
493. Supplier Name: Keebler, Crooks and White, Similarity Score: 0.45
Offered Process: GearHobbing, Offered Material: HighAlloySteel, Offered Machine: GearShaperMachine, Offered Capacity: 150, Certification: LEED, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: VerticalMilling, Offered Material: GrayIron, Offered Machine: VerticalMillingMachine, Offered Capacity: 125, Certification: LEED, Available from-to: 2019-01-15 - 2019-04-01
494. Supplier Name: Konopelski, Beatty and Wisoky, Similarity Score: 0.45
Offered Process: WaterJetCutting, Offered Material: WhiteIron, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: LEED, Available from-to: 2019-02-15 - 2019-05-01
495. Supplier Name: Jaskolski and Sons, Similarity Score: 0.37
Offered Process: Milling, Offered Material: StainlessSteel_304, Offered Machine: MillingMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: ElectricalDischargeMachining, Offered Material: StainlessSteel_302, Offered Machine: EDMMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: GearHobbing, Offered Material: HighCarbonSteel, Offered Machine: GearShaperMachine, Offered Capacity: 75, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: WaterJetCutting, Offered Material: Steel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 50, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
496. Supplier Name: Cummerata LLC, Similarity Score: 0.37
Offered Process: PrecisionMilling, Offered Material: StainlessSteel_302, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: GearHobbing, Offered Material: CompactedGraphiteIron, Offered Machine: GearShaperMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: GearHobbing, Offered Material: HighAlloySteel, Offered Machine: GearShaperMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
497. Supplier Name: Eichmann-Abshire, Similarity Score: 0.37
Offered Process: PrecisionMilling, Offered Material: StainlessSteel_302, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9000, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: HorizontalMilling, Offered Material: CompactedGraphiteIron, Offered Machine: HorizontalMillingMachine, Offered Capacity: 50, Certification: ISO9000, Available from-to: 2019-03-01 - 2019-05-15
498. Supplier Name: Beier-Hoppe, Similarity Score: 0.36
Offered Process: ManualMilling, Offered Material: AlloySteel, Offered Machine: ManualMachineTool, Offered Capacity: 50, Certification: ISO9000, Available from-to: 2019-03-01 - 2019-05-15
499. Supplier Name: Boehm-Ziemann, Similarity Score: 0.36
Offered Process: VerticalMilling, Offered Material: StainlessSteel, Offered Machine: VerticalMillingMachine, Offered Capacity: 150, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: GearHobbing, Offered Material: CarbonSteel, Offered Machine: GearShaperMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: PrecisionMilling, Offered Material: StainlessSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9003, Available from-to: 2019-01-15 - 2019-04-01
500. Supplier Name: Reichel, Kshlerin and Schimmel, Similarity Score: 0.36
Offered Process: Milling, Offered Material: StainlessSteel, Offered Machine: MillingMachine, Offered Capacity: 50, Certification: ISO9003, Available from-to: 2019-01-01 - 2019-03-15
501. Supplier Name: Torp, Leuschke and Feest, Similarity Score: 0.36
Offered Process: Milling, Offered Material: StainlessSteel, Offered Machine: MillingMachine, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: Planing, Offered Material: CompactedGraphiteIron, Offered Machine: ShaperMachine, Offered Capacity: 100, Certification: ISO9001, Available from-to: 2019-01-01 - 2019-03-15
502. Supplier Name: Price, Abshire and Hessel, Similarity Score: 0.36
Offered Process: CNCTurning, Offered Material: StainlessSteel_302, Offered Machine: CNCTurnMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-01-01 - 2019-03-15
503. Supplier Name: Hagenes-Hane, Similarity Score: 0.36
Offered Process: CNCMilling, Offered Material: StainlessSteel_316, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
504. Supplier Name: Mertz and Sons, Similarity Score: 0.36
Offered Process: CNCMilling, Offered Material: StainlessSteel_304, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9003, Available from-to: 2019-01-15 - 2019-04-01
505. Supplier Name: Paucek, Monahan and Stokes, Similarity Score: 0.36
Offered Process: WireEDM, Offered Material: StainlessSteel_304, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: PrecisionMilling, Offered Material: StainlessSteel_302, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
506. Supplier Name: Botsford LLC, Similarity Score: 0.36
Offered Process: PrecisionMilling, Offered Material: AusteniticStainlessSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel_400, Offered Machine: LaserCuttingMachine, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-01-15 - 2019-04-01
507. Supplier Name: Moore-Pfannerstill, Similarity Score: 0.36
Offered Process: CNCMilling, Offered Material: AusteniticStainlessSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: CNCMilling, Offered Material: Steel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 100, Certification: ISO9001, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: SinkerEDM, Offered Material: LowCarbonSteel, Offered Machine: EDMMachine, Offered Capacity: 100, Certification: ISO9001, Available from-to: 2019-01-01 - 2019-03-15
508. Supplier Name: Wisozk-Jaskolski, Similarity Score: 0.36
Offered Process: WaterJetCutting, Offered Material: HighCarbonSteel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 50, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: Planing, Offered Material: StainlessSteel_304, Offered Machine: ShaperMachine, Offered Capacity: 75, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
509. Supplier Name: Kuhlman and Sons, Similarity Score: 0.36
Offered Process: SinkerEDM, Offered Material: StainlessSteel_400, Offered Machine: EDMMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: HoleMaking, Offered Material: AusteniticStainlessSteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-01-01 - 2019-03-15
510. Supplier Name: Jacobson-Bosco, Similarity Score: 0.36
Offered Process: ElectricalDischargeMachining, Offered Material: StainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 100, Certification: ISO9003, Available from-to: 2019-03-01 - 2019-05-15
511. Supplier Name: Fisher, Batz and Kling, Similarity Score: 0.36
Offered Process: Planing, Offered Material: StainlessSteel_316, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: CNCTurning, Offered Material: StainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: Milling, Offered Material: CarbonSteel, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-03-01 - 2019-05-15
512. Supplier Name: Gutkowski Inc, Similarity Score: 0.36
Offered Process: CNCTurning, Offered Material: StainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 75, Certification: ISO9003, Available from-to: 2019-01-15 - 2019-04-01
513. Supplier Name: Beahan-Pollich, Similarity Score: 0.35
Offered Process: CNCMilling, Offered Material: GrayIron, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: PrecisionMilling, Offered Material: HighAlloySteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
514. Supplier Name: Kessler LLC, Similarity Score: 0.35
Offered Process: PrecisionMilling, Offered Material: HighAlloySteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
515. Supplier Name: Schoen Inc, Similarity Score: 0.35
Offered Process: WireEDM, Offered Material: StainlessSteel_302, Offered Machine: EDMMachine, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: WireEDM, Offered Material: Steel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: CNCTurning, Offered Material: MartensiticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
516. Supplier Name: Paucek, Monahan and Stokes, Similarity Score: 0.35
Offered Process: WireEDM, Offered Material: StainlessSteel_304, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: PrecisionMilling, Offered Material: StainlessSteel_302, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
517. Supplier Name: Barton and Sons, Similarity Score: 0.35
Offered Process: WireEDM, Offered Material: StainlessSteel_304, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: Milling, Offered Material: StainlessSteel_400, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
518. Supplier Name: Steuber, Durgan and Orn, Similarity Score: 0.35
Offered Process: ElectricalDischargeMachining, Offered Material: StainlessSteel_302, Offered Machine: EDMMachine, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: WaterJetCutting, Offered Material: HighCarbonSteel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
519. Supplier Name: Wolf, Halvorson and Hayes, Similarity Score: 0.35
Offered Process: WireEDM, Offered Material: StainlessSteel_304, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-02-15 - 2019-05-01
520. Supplier Name: Weissnat-Hoppe, Similarity Score: 0.35
Offered Process: VerticalMilling, Offered Material: StainlessSteel_302, Offered Machine: VerticalMillingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: CNCTurning, Offered Material: StainlessSteel_304, Offered Machine: CNCTurnMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
521. Supplier Name: Kessler-Corkery, Similarity Score: 0.35
Offered Process: Milling, Offered Material: StainlessSteel_400, Offered Machine: MillingMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: SinkerEDM, Offered Material: StainlessSteel_316, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: Milling, Offered Material: StainlessSteel_400, Offered Machine: MillingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: WireEDM, Offered Material: CastIron, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: WaterJetCutting, Offered Material: CompactedGraphiteIron, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: GearHobbing, Offered Material: StainlessSteel, Offered Machine: GearShaperMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
522. Supplier Name: Towne-Dicki, Similarity Score: 0.35
Offered Process: SinkerEDM, Offered Material: StainlessSteel_304, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9003, Available from-to: 2019-01-01 - 2019-03-15
523. Supplier Name: Reichert Inc, Similarity Score: 0.35
Offered Process: CNCTurning, Offered Material: StainlessSteel_304, Offered Machine: CNCTurnMachine, Offered Capacity: 100, Certification: ISO9003, Available from-to: 2019-01-01 - 2019-03-15
524. Supplier Name: Deckow, Moore and Sanford, Similarity Score: 0.35
Offered Process: CNCMilling, Offered Material: CarbonSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 150, Certification: ISO9001, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: WireEDM, Offered Material: StainlessSteel_304, Offered Machine: EDMMachine, Offered Capacity: 100, Certification: ISO9001, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: WireEDM, Offered Material: StainlessSteel_400, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-03-01 - 2019-05-15
525. Supplier Name: Ferry-Buckridge, Similarity Score: 0.35
Offered Process: CNCTurning, Offered Material: AusteniticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 75, Certification: ISO9003, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: LaserBeamCutting, Offered Material: AlloySteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 150, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
526. Supplier Name: Huels-Cruickshank, Similarity Score: 0.35
Offered Process: ManualMilling, Offered Material: StainlessSteel_400, Offered Machine: ManualMachineTool, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-01-01 - 2019-03-15
527. Supplier Name: Dickens and Sons, Similarity Score: 0.35
Offered Process: ManualMilling, Offered Material: StainlessSteel_400, Offered Machine: ManualMachineTool, Offered Capacity: 100, Certification: ISO9003, Available from-to: 2019-03-01 - 2019-05-15
528. Supplier Name: Cummerata LLC, Similarity Score: 0.35
Offered Process: PrecisionMilling, Offered Material: StainlessSteel_302, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: GearHobbing, Offered Material: CompactedGraphiteIron, Offered Machine: GearShaperMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: GearHobbing, Offered Material: HighAlloySteel, Offered Machine: GearShaperMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
529. Supplier Name: Corwin-Lind, Similarity Score: 0.35
Offered Process: GearHobbing, Offered Material: StainlessSteel, Offered Machine: GearShaperMachine, Offered Capacity: 100, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: WireEDM, Offered Material: MediumCarbonSteel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-02-15 - 2019-05-01
530. Supplier Name: Bartoletti and Sons, Similarity Score: 0.35
Offered Process: Shaping, Offered Material: StainlessSteel, Offered Machine: ShaperMachine, Offered Capacity: 50, Certification: ISO9003, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: CNCMilling, Offered Material: HighCarbonSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-01-01 - 2019-03-15
531. Supplier Name: Quigley Group, Similarity Score: 0.35
Offered Process: VerticalMilling, Offered Material: StainlessSteel, Offered Machine: VerticalMillingMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
532. Supplier Name: Greenholt, Haley and Crist, Similarity Score: 0.35
Offered Process: HorizontalMilling, Offered Material: StainlessSteel, Offered Machine: HorizontalMillingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
533. Supplier Name: Hessel-Nader, Similarity Score: 0.35
Offered Process: LaserBeamCutting, Offered Material: WhiteIron, Offered Machine: LaserCuttingMachine, Offered Capacity: 75, Certification: ISO14000, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: WireEDM, Offered Material: MartensiticStainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO14000, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: Milling, Offered Material: AusteniticStainlessSteel, Offered Machine: MillingMachine, Offered Capacity: 100, Certification: ISO14000, Available from-to: 2019-03-01 - 2019-05-15
534. Supplier Name: Erdman and Sons, Similarity Score: 0.35
Offered Process: Shaping, Offered Material: MartensiticStainlessSteel, Offered Machine: ShaperMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: SinkerEDM, Offered Material: AlloySteel, Offered Machine: EDMMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-01-15 - 2019-04-01
535. Supplier Name: Ferry-Runolfsson, Similarity Score: 0.35
Offered Process: WireEDM, Offered Material: MartensiticStainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: CNCMilling, Offered Material: Steel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-01-15 - 2019-04-01
536. Supplier Name: Erdman and Sons, Similarity Score: 0.35
Offered Process: Shaping, Offered Material: MartensiticStainlessSteel, Offered Machine: ShaperMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: SinkerEDM, Offered Material: AlloySteel, Offered Machine: EDMMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-01-15 - 2019-04-01
537. Supplier Name: Weissnat-Hoppe, Similarity Score: 0.35
Offered Process: VerticalMilling, Offered Material: StainlessSteel_302, Offered Machine: VerticalMillingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: CNCTurning, Offered Material: StainlessSteel_304, Offered Machine: CNCTurnMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
538. Supplier Name: Stehr, Wisozk and Morar, Similarity Score: 0.35
Offered Process: Shaping, Offered Material: StainlessSteel_304, Offered Machine: ShaperMachine, Offered Capacity: 50, Certification: ISO9003, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: GearHobbing, Offered Material: AusteniticStainlessSteel, Offered Machine: GearShaperMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
539. Supplier Name: Conroy-Quigley, Similarity Score: 0.35
Offered Process: GearHobbing, Offered Material: StainlessSteel_316, Offered Machine: GearShaperMachine, Offered Capacity: 100, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
540. Supplier Name: Kautzer Group, Similarity Score: 0.35
Offered Process: PrecisionMilling, Offered Material: GrayIron, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9003, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: WaterJetCutting, Offered Material: StainlessSteel_304, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 50, Certification: ISO9003, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: WireEDM, Offered Material: MartensiticStainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9003, Available from-to: 2019-01-15 - 2019-04-01
541. Supplier Name: Schamberger-Jakubowski, Similarity Score: 0.35
Offered Process: HoleMaking, Offered Material: CastIron, Offered Machine: EDMDrillingMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: HorizontalMilling, Offered Material: StainlessSteel_316, Offered Machine: HorizontalMillingMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
542. Supplier Name: Stark-Parisian, Similarity Score: 0.35
Offered Process: WireEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: SinkerEDM, Offered Material: MartensiticStainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: CNCMilling, Offered Material: CarbonSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
543. Supplier Name: Champlin LLC, Similarity Score: 0.35
Offered Process: ElectricalDischargeMachining, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
544. Supplier Name: Mohr-Jacobi, Similarity Score: 0.35
Offered Process: CNCTurning, Offered Material: HighAlloySteel, Offered Machine: CNCTurnMachine, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-03-01 - 2019-05-15
545. Supplier Name: Gleason-Quitzon, Similarity Score: 0.35
Offered Process: WireEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 50, Certification: ISO9003, Available from-to: 2019-01-01 - 2019-03-15
546. Supplier Name: Mayert-Abbott, Similarity Score: 0.35
Offered Process: Planing, Offered Material: CompactedGraphiteIron, Offered Machine: ShaperMachine, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: CNCTurning, Offered Material: HighAlloySteel, Offered Machine: CNCTurnMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
547. Supplier Name: Hessel Inc, Similarity Score: 0.35
Offered Process: GearHobbing, Offered Material: WhiteIron, Offered Machine: GearShaperMachine, Offered Capacity: 100, Certification: ISO9003, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: CNCTurning, Offered Material: HighAlloySteel, Offered Machine: CNCTurnMachine, Offered Capacity: 100, Certification: ISO9003, Available from-to: 2019-01-01 - 2019-03-15
548. Supplier Name: Green-Bogisich, Similarity Score: 0.35
Offered Process: Milling, Offered Material: AlloySteel, Offered Machine: MillingMachine, Offered Capacity: 50, Certification: ISO9003, Available from-to: 2019-02-15 - 2019-05-01
549. Supplier Name: Huels, Collins and Daugherty, Similarity Score: 0.35
Offered Process: WireEDM, Offered Material: AusteniticStainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: CNCMilling, Offered Material: AlloySteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
550. Supplier Name: Adams-Ryan, Similarity Score: 0.35
Offered Process: WireEDM, Offered Material: CastIron, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: Milling, Offered Material: LowAlloySteel, Offered Machine: MillingMachine, Offered Capacity: 75, Certification: ISO9000, Available from-to: 2019-03-01 - 2019-05-15
551. Supplier Name: Ferry Inc, Similarity Score: 0.35
Offered Process: WaterJetCutting, Offered Material: Steel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: ISO9003, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: ManualMilling, Offered Material: LowAlloySteel, Offered Machine: ManualMachineTool, Offered Capacity: 75, Certification: ISO9003, Available from-to: 2019-01-15 - 2019-04-01
552. Supplier Name: Lakin, Metz and Oberbrunner, Similarity Score: 0.35
Offered Process: SinkerEDM, Offered Material: MartensiticStainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: PrecisionMilling, Offered Material: HighCarbonSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-02-15 - 2019-05-01
553. Supplier Name: Stark-Parisian, Similarity Score: 0.35
Offered Process: WireEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: SinkerEDM, Offered Material: MartensiticStainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: CNCMilling, Offered Material: CarbonSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
554. Supplier Name: Kautzer Group, Similarity Score: 0.35
